Date;BTC_Close;SOL_Close;BTC_SOL_Ratio;Ratio_MA_30;Ratio_vs_MA;Ratio_SD_30;Ratio_Z_30;Signal
01.01.2023;16617,57;10;1661,86;;;;;
02.01.2023;16677,87;11,29;1477,04;;;;;
03.01.2023;16674,12;13,39;1244,86;;;;;
04.01.2023;16849,97;13,42;1255,35;;;;;
05.01.2023;16832,48;13,43;1253,79;;;;;
06.01.2023;16952,15;13,51;1255,15;;;;;
07.01.2023;16945,2;13,11;1293;;;;;
08.01.2023;17128,62;14,44;1185,98;;;;;
09.01.2023;17181,92;16,27;1056,2;;;;;
10.01.2023;17441,76;16,21;1076;;;;;
11.01.2023;17944,83;16,36;1097,08;;;;;
12.01.2023;18852,95;16,6;1135,55;;;;;
13.01.2023;19930,08;18,3;1088,83;;;;;
14.01.2023;20953,76;24,29;862,54;;;;;
15.01.2023;20869,54;22,88;911,94;;;;;
16.01.2023;21192,09;23,6;898,03;;;;;
17.01.2023;21136,37;23;918,86;;;;;
18.01.2023;20677,13;20,78;994,85;;;;;
19.01.2023;21074,78;21,41;984,2;;;;;
20.01.2023;22681,03;25,5;889,39;;;;;
21.01.2023;22775,95;24,75;920,31;;;;;
22.01.2023;22714,51;24,25;936,75;;;;;
23.01.2023;22915,06;24,32;942,41;;;;;
24.01.2023;22631,85;22,76;994,33;;;;;
25.01.2023;23055,67;24,52;940,44;;;;;
26.01.2023;23005,88;24,34;945,22;;;;;
27.01.2023;23067,18;24,43;944,1;;;;;
28.01.2023;23021,21;24,02;958,45;;;;;
29.01.2023;23744,82;26,1;909,78;;;;;
30.01.2023;22831,95;23,97;952,38;1066,16;-113,78;189,89192882;-0,6;Neutral
31.01.2023;23128,28;23,97;964,98;1042,93;-77,95;153,67836983;-0,51;Neutral
01.02.2023;23726,72;24,93;951,68;1025,41;-73,73;130,72283297;-0,56;Neutral
02.02.2023;23482,33;24,22;969,49;1016,24;-46,75;124,29231701;-0,38;Neutral
03.02.2023;23421,84;24,68;949,04;1006,02;-56,98;116,2963936;-0,49;Neutral
04.02.2023;23327,52;24,33;958,63;996,19;-37,56;106,70221109;-0,35;Neutral
05.02.2023;22932,23;23,49;976,08;986,88;-10,8;94,85407586;-0,11;Neutral
06.02.2023;22760,79;22,67;1003,82;977,24;26,58;75,36437825;0,35;Neutral
07.02.2023;23246,32;23,83;975,66;970,23;5,43;64,23864025;0,08;Neutral
08.02.2023;22958,53;23,16;991,38;968,07;23,31;62,30858408;0,37;Neutral
09.02.2023;21798,17;20,45;1065,99;967,74;98,25;61,7348608;1,59;Neutral
10.02.2023;21631,55;20,12;1075,21;967,01;108,2;60,26653603;1,8;Neutral
11.02.2023;21863,65;20,82;1050,26;964,17;86,09;53,69520326;1,6;Neutral
12.02.2023;21783,16;21,51;1012,9;961,64;51,26;49,21943647;1,04;Neutral
13.02.2023;21774,44;20,76;1048,94;967,85;81,09;48,0292986;1,69;Neutral
14.02.2023;22200,34;21,86;1015,67;971,31;44,36;47,59736038;0,93;Neutral
15.02.2023;24329,49;23,88;1018,9;975,34;43,56;46,27808794;0,94;Neutral
16.02.2023;23518,71;22,29;1055;979,87;75,13;47,21448154;1,59;Neutral
17.02.2023;24577,41;23,18;1060,43;982,06;78,37;49,39934175;1,59;Neutral
18.02.2023;24628,46;23,45;1050,32;984,26;66,06;50,9487861;1,3;Neutral
19.02.2023;24263;24,82;977,63;987,21;-9,58;47,72798591;-0,2;Neutral
20.02.2023;24838,09;26,24;946,6;988,08;-41,48;46,68736525;-0,89;Neutral
21.02.2023;24453,24;24,97;979,16;989,5;-10,34;45,7113274;-0,23;Neutral
22.02.2023;24181,73;24,15;1001,24;991,46;9,78;44,87596032;0,22;Neutral
23.02.2023;23937,75;23,94;999,94;991,64;8,3;44,90002716;0,18;Neutral
24.02.2023;23183,13;23,07;1004,75;993,79;10,96;43,89502334;0,25;Neutral
25.02.2023;23155,42;22,48;1030,15;996,62;33,53;43,39052151;0,77;Neutral
26.02.2023;23558,22;23,44;1005,14;998,65;6,49;42,25929405;0,15;Neutral
27.02.2023;23490,18;22,77;1031,75;1001,1;30,65;41,97272311;0,73;Neutral
28.02.2023;23140,1;22,08;1047,93;1005,7;42,23;39,08788586;1,08;Neutral
01.03.2023;23629,08;22,51;1049,5;1008,94;40,56;38,53735576;1,05;Neutral
02.03.2023;23468,02;21,98;1067,93;1012,37;55,56;39,06800445;1,42;Neutral
03.03.2023;22358,06;21,39;1045,26;1015,49;29,77;37,7694477;0,79;Neutral
04.03.2023;22346,68;20,98;1065,14;1018,68;46,46;37,7896002;1,23;Neutral
05.03.2023;22430,68;20,99;1068,64;1022,67;45,97;36,47551278;1,26;Neutral
06.03.2023;22407,44;20,63;1086,16;1026,92;59,24;36,18555233;1,64;Neutral
07.03.2023;22198,59;20,24;1096,77;1030,94;65,83;37,03780839;1,78;Neutral
08.03.2023;21703,4;18,39;1180,17;1036,82;143,35;45,59188728;3,14;BTC rich vs SOL
09.03.2023;20368,79;17,31;1176,71;1043,52;133,19;50,77412933;2,62;BTC rich vs SOL
10.03.2023;20153,97;18,2;1107,36;1047,38;59,98;51,08180503;1,17;Neutral
11.03.2023;20463,9;18,09;1131,23;1049,56;81,67;53,24411449;1,53;Neutral
12.03.2023;21995,39;20,12;1093,21;1050,16;43,05;53,64305659;0,8;Neutral
13.03.2023;24108,06;20,39;1182,35;1054,56;127,79;58,82247693;2,17;BTC rich vs SOL
14.03.2023;24674,99;20,86;1182,89;1060,23;122,66;62,72857147;1,96;Neutral
15.03.2023;24278,47;19,25;1261,22;1067,3;193,92;72,60644598;2,67;BTC rich vs SOL
16.03.2023;25003,06;19,69;1269,84;1075,78;194,06;80,74652207;2,4;BTC rich vs SOL
17.03.2023;27391,98;21,61;1267,56;1084,07;183,49;87,21051113;2,1;BTC rich vs SOL
18.03.2023;26917,17;21,21;1269,08;1091,2;177,88;93,2963756;1,91;Neutral
19.03.2023;27958,56;21,84;1280,15;1098,53;181,62;99,23281554;1,83;Neutral
20.03.2023;27720,95;22,14;1252,08;1105,25;146,83;102,63183413;1,43;Neutral
21.03.2023;28110,26;22,55;1246,57;1114,22;132,35;102,84543329;1,29;Neutral
22.03.2023;27254,54;21,43;1271,79;1125,06;146,73;101,70067679;1,44;Neutral
23.03.2023;28286,72;22,19;1274,75;1134,91;139,84;101,39683083;1,38;Neutral
24.03.2023;27444,02;20,64;1329,65;1145,86;183,79;104,15836284;1,76;Neutral
25.03.2023;27462,53;20,42;1344,88;1157,35;187,53;106,50775515;1,76;Neutral
26.03.2023;27984,74;20,98;1333,88;1168,32;165,56;107,19558942;1,54;Neutral
27.03.2023;27128,98;19,93;1361,21;1179,36;181,85;109,49651123;1,66;Neutral
28.03.2023;27260,91;20,5;1329,8;1190,18;139,62;107,71309399;1,3;Neutral
29.03.2023;28354,39;21,11;1343,17;1200,56;142,61;106,92135205;1,33;Neutral
