Date,Symbol,OpenTimeUTC,Open,High,Low,Close,Volume,CloseTimeUTC,QuoteVolume,NumberOfTrades
2025-05-15,BTCUSDT,2025-05-15T00:00:00Z,103522.43000000,104099.96000000,101456.73000000,103851.28000000,15.83668000,2025-05-15T23:59:59.999000Z,1625311.22035960,2166
2025-05-16,BTCUSDT,2025-05-16T00:00:00Z,103791.23000000,104485.87000000,103166.34000000,103397.56000000,5.45321000,2025-05-16T23:59:59.999000Z,566190.12439300,1243
2025-05-17,BTCUSDT,2025-05-17T00:00:00Z,103510.15000000,103680.99000000,102618.04000000,103103.36000000,3.97569000,2025-05-17T23:59:59.999000Z,409526.69885520,887
2025-05-18,BTCUSDT,2025-05-18T00:00:00Z,103137.37000000,106452.63000000,103065.62000000,106452.63000000,17.85040000,2025-05-18T23:59:59.999000Z,1871374.67993430,2829
2025-05-19,BTCUSDT,2025-05-19T00:00:00Z,106452.63000000,106953.35000000,102089.43000000,105656.99000000,17.91105000,2025-05-19T23:59:59.999000Z,1864917.85535990,2844
2025-05-20,BTCUSDT,2025-05-20T00:00:00Z,105637.60000000,107000.00000000,104226.22000000,106700.00000000,18.51600000,2025-05-20T23:59:59.999000Z,1964431.88305000,2728
2025-05-21,BTCUSDT,2025-05-21T00:00:00Z,106803.18000000,110268.76000000,106185.74000000,109578.68000000,60.84036000,2025-05-21T23:59:59.999000Z,6566070.92662300,6632
2025-05-22,BTCUSDT,2025-05-22T00:00:00Z,109593.03000000,111945.48000000,109246.53000000,111699.00000000,27.53298000,2025-05-22T23:59:59.999000Z,3057831.66177330,3593
2025-05-23,BTCUSDT,2025-05-23T00:00:00Z,111698.95000000,111766.14000000,106862.04000000,107306.01000000,16.27045000,2025-05-23T23:59:59.999000Z,1785526.60111700,2736
2025-05-24,BTCUSDT,2025-05-24T00:00:00Z,107363.84000000,109432.68000000,106915.38000000,107839.94000000,10.17390000,2025-05-24T23:59:59.999000Z,1102214.85322740,1201
2025-05-25,BTCUSDT,2025-05-25T00:00:00Z,107839.73000000,109291.08000000,106687.21000000,108917.86000000,7.52011000,2025-05-25T23:59:59.999000Z,808512.92674130,1375
2025-05-26,BTCUSDT,2025-05-26T00:00:00Z,108956.56000000,110371.05000000,108700.00000000,109435.45000000,6.06525000,2025-05-26T23:59:59.999000Z,664490.18727100,1329
2025-05-27,BTCUSDT,2025-05-27T00:00:00Z,109456.61000000,110688.47000000,107494.41000000,108949.43000000,11.49950000,2025-05-27T23:59:59.999000Z,1255651.40213830,2014
2025-05-28,BTCUSDT,2025-05-28T00:00:00Z,108879.08000000,109390.99000000,106880.00000000,107747.33000000,12.42237000,2025-05-28T23:59:59.999000Z,1342979.03096040,1586
2025-05-29,BTCUSDT,2025-05-29T00:00:00Z,107746.82000000,108843.86000000,105413.06000000,105703.38000000,13.44264000,2025-05-29T23:59:59.999000Z,1440185.00364310,2383
2025-05-30,BTCUSDT,2025-05-30T00:00:00Z,105702.53000000,106211.60000000,103665.04000000,104071.80000000,16.91291000,2025-05-30T23:59:59.999000Z,1770801.11196810,2424
2025-05-31,BTCUSDT,2025-05-31T00:00:00Z,104179.86000000,104877.45000000,102906.00000000,104612.50000000,13.08431000,2025-05-31T23:59:59.999000Z,1357967.28906640,1492
2025-06-01,BTCUSDT,2025-06-01T00:00:00Z,104662.05000000,105813.97000000,103751.93000000,105571.94000000,4.77282000,2025-06-01T23:59:59.999000Z,500118.39202740,1595
2025-06-02,BTCUSDT,2025-06-02T00:00:00Z,105609.60000000,105917.06000000,103673.88000000,105860.43000000,7.15188000,2025-06-02T23:59:59.999000Z,749185.17563460,2094
2025-06-03,BTCUSDT,2025-06-03T00:00:00Z,105768.14000000,106761.46000000,104909.52000000,105317.93000000,8.90040000,2025-06-03T23:59:59.999000Z,942518.69475300,1993
2025-06-04,BTCUSDT,2025-06-04T00:00:00Z,105390.06000000,105973.03000000,104216.01000000,104671.87000000,7.91864000,2025-06-04T23:59:59.999000Z,831335.78024770,1293
2025-06-05,BTCUSDT,2025-06-05T00:00:00Z,104740.79000000,105932.94000000,100425.95000000,101498.50000000,26.63790000,2025-06-05T23:59:59.999000Z,2735972.91875730,2485
2025-06-06,BTCUSDT,2025-06-06T00:00:00Z,101498.58000000,105255.62000000,101151.90000000,104301.01000000,6.72888000,2025-06-06T23:59:59.999000Z,696929.00408940,1676
2025-06-07,BTCUSDT,2025-06-07T00:00:00Z,104364.90000000,105900.00000000,103853.14000000,105500.00000000,4.45594000,2025-06-07T23:59:59.999000Z,468833.72297820,1220
2025-06-08,BTCUSDT,2025-06-08T00:00:00Z,105500.00000000,106382.50000000,105034.44000000,105790.58000000,4.99884000,2025-06-08T23:59:59.999000Z,528815.25206460,1145
2025-06-09,BTCUSDT,2025-06-09T00:00:00Z,105742.83000000,110183.09000000,105350.66000000,110101.01000000,16.11494000,2025-06-09T23:59:59.999000Z,1747223.14888340,3374
2025-06-10,BTCUSDT,2025-06-10T00:00:00Z,110101.01000000,110187.00000000,108344.15000000,110183.11000000,10.04875000,2025-06-10T23:59:59.999000Z,1100268.29134450,1984
2025-06-11,BTCUSDT,2025-06-11T00:00:00Z,110080.71000000,110342.38000000,108131.79000000,108625.00000000,28.68112000,2025-06-11T23:59:59.999000Z,3143225.72220750,2807
2025-06-12,BTCUSDT,2025-06-12T00:00:00Z,108688.90000000,108810.58000000,105708.18000000,105708.18000000,11.01834000,2025-06-12T23:59:59.999000Z,1175639.03841510,2053
2025-06-13,BTCUSDT,2025-06-13T00:00:00Z,105703.20000000,106130.99000000,102711.06000000,106043.25000000,9.68701000,2025-06-13T23:59:59.999000Z,1011042.77268420,2380
2025-06-14,BTCUSDT,2025-06-14T00:00:00Z,106060.59000000,106189.14000000,104347.27000000,105410.13000000,5.84783000,2025-06-14T23:59:59.999000Z,616449.86338810,1035
2025-06-15,BTCUSDT,2025-06-15T00:00:00Z,105410.21000000,106148.86000000,104500.47000000,105540.14000000,9.26422000,2025-06-15T23:59:59.999000Z,976591.71469440,1200
2025-06-16,BTCUSDT,2025-06-16T00:00:00Z,105520.11000000,108833.30000000,105025.92000000,106825.99000000,8.70380000,2025-06-16T23:59:59.999000Z,933871.07610150,2036
2025-06-17,BTCUSDT,2025-06-17T00:00:00Z,106766.12000000,107685.15000000,103152.00000000,104613.46000000,10.59169000,2025-06-17T23:59:59.999000Z,1112760.26158560,2104
2025-06-18,BTCUSDT,2025-06-18T00:00:00Z,104644.26000000,105480.47000000,103584.45000000,104879.86000000,6.98336000,2025-06-18T23:59:59.999000Z,732966.48924690,1549
2025-06-19,BTCUSDT,2025-06-19T00:00:00Z,104960.31000000,105234.56000000,104000.00000000,104720.21000000,3.22059000,2025-06-19T23:59:59.999000Z,337011.40064940,1035
2025-06-20,BTCUSDT,2025-06-20T00:00:00Z,104685.72000000,106531.74000000,102382.90000000,103320.72000000,8.34339000,2025-06-20T23:59:59.999000Z,868651.10185340,1859
2025-06-21,BTCUSDT,2025-06-21T00:00:00Z,103270.88000000,103950.49000000,100935.45000000,101976.53000000,11.88115000,2025-06-21T23:59:59.999000Z,1207480.48805440,1378
2025-06-22,BTCUSDT,2025-06-22T00:00:00Z,101976.53000000,103323.86000000,98254.52000000,100900.60000000,16.35122000,2025-06-22T23:59:59.999000Z,1633764.60544650,2725
2025-06-23,BTCUSDT,2025-06-23T00:00:00Z,100871.62000000,105883.31000000,99594.16000000,105491.81000000,13.90767000,2025-06-23T23:59:59.999000Z,1427644.62297310,2814
2025-06-24,BTCUSDT,2025-06-24T00:00:00Z,105394.97000000,106156.86000000,104606.93000000,105903.87000000,5.65890000,2025-06-24T23:59:59.999000Z,596585.77534660,1582
2025-06-25,BTCUSDT,2025-06-25T00:00:00Z,106000.00000000,108095.04000000,105767.25000000,107179.03000000,8.44253000,2025-06-25T23:59:59.999000Z,904969.47220870,2522
2025-06-26,BTCUSDT,2025-06-26T00:00:00Z,107286.68000000,108209.12000000,106642.93000000,107013.01000000,3.72214000,2025-06-26T23:59:59.999000Z,399954.95233120,1673
2025-06-27,BTCUSDT,2025-06-27T00:00:00Z,106863.96000000,107648.34000000,106414.03000000,107000.01000000,4.72325000,2025-06-27T23:59:59.999000Z,504759.38770410,1191
2025-06-28,BTCUSDT,2025-06-28T00:00:00Z,107095.18000000,107577.07000000,106760.82000000,107325.32000000,2.71379000,2025-06-28T23:59:59.999000Z,291182.32901510,802
2025-06-29,BTCUSDT,2025-06-29T00:00:00Z,107342.78000000,108473.62000000,107152.50000000,108296.90000000,5.90259000,2025-06-29T23:59:59.999000Z,635791.73401930,1548
2025-06-30,BTCUSDT,2025-06-30T00:00:00Z,108382.69000000,108746.16000000,106766.08000000,107214.96000000,7.15576000,2025-06-30T23:59:59.999000Z,770639.52504030,1445
2025-07-01,BTCUSDT,2025-07-01T00:00:00Z,107067.23000000,107471.65000000,105329.35000000,105668.01000000,9.29030000,2025-07-01T23:59:59.999000Z,988829.03084910,2188
2025-07-02,BTCUSDT,2025-07-02T00:00:00Z,105551.07000000,109650.00000000,105157.89000000,108702.81000000,40.85441000,2025-07-02T23:59:59.999000Z,4441738.63687200,3336
2025-07-03,BTCUSDT,2025-07-03T00:00:00Z,108688.03000000,110493.51000000,108119.95000000,109628.73000000,58.38001000,2025-07-03T23:59:59.999000Z,6361863.89037970,4070
2025-07-04,BTCUSDT,2025-07-04T00:00:00Z,109535.81000000,109715.96000000,107267.71000000,107947.38000000,9.38189000,2025-07-04T23:59:59.999000Z,1016047.19626370,1228
2025-07-05,BTCUSDT,2025-07-05T00:00:00Z,107944.22000000,108341.84000000,107766.83000000,108260.00000000,2.14643000,2025-07-05T23:59:59.999000Z,232069.15121610,775
2025-07-06,BTCUSDT,2025-07-06T00:00:00Z,108264.81000000,109600.00000000,107837.71000000,109216.40000000,4.00379000,2025-07-06T23:59:59.999000Z,436055.14255240,1281
2025-07-07,BTCUSDT,2025-07-07T00:00:00Z,109121.93000000,109656.72000000,107570.00000000,108216.12000000,9.12461000,2025-07-07T23:59:59.999000Z,990879.65717750,2122
2025-07-08,BTCUSDT,2025-07-08T00:00:00Z,108216.38000000,109200.00000000,107500.00000000,108988.53000000,5.78959000,2025-07-08T23:59:59.999000Z,628175.34073300,2288
2025-07-09,BTCUSDT,2025-07-09T00:00:00Z,108887.33000000,111934.84000000,108343.24000000,111475.16000000,52.85283000,2025-07-09T23:59:59.999000Z,5809274.52160420,4755
2025-07-10,BTCUSDT,2025-07-10T00:00:00Z,111294.24000000,116733.15000000,110584.71000000,116038.00000000,45.57150000,2025-07-10T23:59:59.999000Z,5127499.65647190,8515
2025-07-11,BTCUSDT,2025-07-11T00:00:00Z,116037.86000000,118808.00000000,115269.73000000,117426.49000000,13.13519000,2025-07-11T23:59:59.999000Z,1542152.75530100,2903
2025-07-12,BTCUSDT,2025-07-12T00:00:00Z,117607.65000000,118122.93000000,116975.25000000,117393.39000000,4.74331000,2025-07-12T23:59:59.999000Z,557508.94415930,1420
2025-07-13,BTCUSDT,2025-07-13T00:00:00Z,117441.77000000,119384.16000000,117254.70000000,119098.77000000,9.53794000,2025-07-13T23:59:59.999000Z,1130743.42577120,2503
2025-07-14,BTCUSDT,2025-07-14T00:00:00Z,119073.56000000,123119.12000000,118876.01000000,119878.79000000,28.32175000,2025-07-14T23:59:59.999000Z,3425537.58780340,5277
2025-07-15,BTCUSDT,2025-07-15T00:00:00Z,119857.16000000,119966.27000000,115824.13000000,117680.43000000,19.55454000,2025-07-15T23:59:59.999000Z,2293040.70289570,4436
2025-07-16,BTCUSDT,2025-07-16T00:00:00Z,117737.65000000,120000.00000000,117074.83000000,118585.41000000,34.23481000,2025-07-16T23:59:59.999000Z,4058227.04458250,3167
2025-07-17,BTCUSDT,2025-07-17T00:00:00Z,118596.64000000,120777.09000000,117454.83000000,119197.83000000,13.85371000,2025-07-17T23:59:59.999000Z,1650051.56358540,2952
2025-07-18,BTCUSDT,2025-07-18T00:00:00Z,119197.78000000,120674.59000000,116876.18000000,117885.51000000,20.28515000,2025-07-18T23:59:59.999000Z,2400322.21621660,3794
2025-07-19,BTCUSDT,2025-07-19T00:00:00Z,117979.11000000,118458.82000000,117313.28000000,117796.00000000,10.68562000,2025-07-19T23:59:59.999000Z,1262065.74792750,2085
2025-07-20,BTCUSDT,2025-07-20T00:00:00Z,117796.00000000,118835.18000000,116544.15000000,117232.91000000,6.02824000,2025-07-20T23:59:59.999000Z,711215.59787260,3016
2025-07-21,BTCUSDT,2025-07-21T00:00:00Z,117145.08000000,119510.73000000,116579.16000000,117480.91000000,16.67709000,2025-07-21T23:59:59.999000Z,1970477.87346160,5150
2025-07-22,BTCUSDT,2025-07-22T00:00:00Z,117336.01000000,120169.05000000,116178.21000000,119999.61000000,13.55016000,2025-07-22T23:59:59.999000Z,1608876.53497840,3311
2025-07-23,BTCUSDT,2025-07-23T00:00:00Z,119962.95000000,120588.88000000,117312.27000000,118620.89000000,52.71078000,2025-07-23T23:59:59.999000Z,6292781.31823920,4487
2025-07-24,BTCUSDT,2025-07-24T00:00:00Z,118620.89000000,119380.00000000,117152.37000000,118322.03000000,4.81534000,2025-07-24T23:59:59.999000Z,570341.50827100,1992
2025-07-25,BTCUSDT,2025-07-25T00:00:00Z,118371.13000000,118452.33000000,114771.42000000,117577.40000000,13.08272000,2025-07-25T23:59:59.999000Z,1518985.93912710,2917
2025-07-26,BTCUSDT,2025-07-26T00:00:00Z,117577.41000000,118249.99000000,117198.34000000,117850.00000000,2.84801000,2025-07-26T23:59:59.999000Z,335206.05102830,1313
2025-07-27,BTCUSDT,2025-07-27T00:00:00Z,117850.00000000,119703.32000000,117797.00000000,119395.67000000,6.01207000,2025-07-27T23:59:59.999000Z,714814.97243210,2646
2025-07-28,BTCUSDT,2025-07-28T00:00:00Z,119395.67000000,119744.14000000,117499.00000000,118080.54000000,6.41960000,2025-07-28T23:59:59.999000Z,759749.82485020,1648
2025-07-29,BTCUSDT,2025-07-29T00:00:00Z,117993.85000000,119201.97000000,117022.08000000,117875.98000000,9.33523000,2025-07-29T23:59:59.999000Z,1102477.56283580,1751
2025-07-30,BTCUSDT,2025-07-30T00:00:00Z,117953.73000000,118667.71000000,115546.47000000,117880.12000000,7.34164000,2025-07-30T23:59:59.999000Z,861947.68539600,1863
2025-07-31,BTCUSDT,2025-07-31T00:00:00Z,117700.22000000,118830.00000000,115500.00000000,115660.09000000,7.50063000,2025-07-31T23:59:59.999000Z,879745.79207290,1751
2025-08-01,BTCUSDT,2025-08-01T00:00:00Z,115603.25000000,116046.58000000,112749.73000000,113343.12000000,12.71927000,2025-08-01T23:59:59.999000Z,1459467.18953200,2786
2025-08-02,BTCUSDT,2025-08-02T00:00:00Z,113343.12000000,114050.60000000,112000.00000000,112784.96000000,17.78301000,2025-08-02T23:59:59.999000Z,2012789.54840380,1508
2025-08-03,BTCUSDT,2025-08-03T00:00:00Z,112493.97000000,114754.77000000,111931.24000000,114126.62000000,6.23159000,2025-08-03T23:59:59.999000Z,709477.65194560,1304
2025-08-04,BTCUSDT,2025-08-04T00:00:00Z,114251.79000000,115643.93000000,114101.01000000,115176.19000000,17.93390000,2025-08-04T23:59:59.999000Z,2060954.03510050,1984
2025-08-05,BTCUSDT,2025-08-05T00:00:00Z,115080.31000000,115166.98000000,112711.29000000,114191.49000000,7.88577000,2025-08-05T23:59:59.999000Z,896331.26587670,1820
2025-08-06,BTCUSDT,2025-08-06T00:00:00Z,114186.13000000,115675.80000000,112750.40000000,115054.66000000,145.60077000,2025-08-06T23:59:59.999000Z,16506564.79641590,5410
2025-08-07,BTCUSDT,2025-08-07T00:00:00Z,115054.30000000,117610.87000000,114284.37000000,117499.31000000,3.80871000,2025-08-07T23:59:59.999000Z,442889.89120120,1365
2025-08-08,BTCUSDT,2025-08-08T00:00:00Z,117499.31000000,117664.42000000,115897.93000000,116929.14000000,4.25432000,2025-08-08T23:59:59.999000Z,496449.30470940,1453
2025-08-09,BTCUSDT,2025-08-09T00:00:00Z,116918.75000000,117871.54000000,116369.00000000,116469.00000000,4.58556000,2025-08-09T23:59:59.999000Z,535514.00746590,1407
2025-08-10,BTCUSDT,2025-08-10T00:00:00Z,116469.01000000,119253.82000000,116469.01000000,118980.47000000,10.40972000,2025-08-10T23:59:59.999000Z,1231231.81057000,1792
2025-08-11,BTCUSDT,2025-08-11T00:00:00Z,119212.55000000,122262.32000000,118156.59000000,118808.69000000,20.53702000,2025-08-11T23:59:59.999000Z,2475258.36084200,4592
2025-08-12,BTCUSDT,2025-08-12T00:00:00Z,118805.18000000,120266.64000000,118306.75000000,120266.64000000,109.41264000,2025-08-12T23:59:59.999000Z,13043623.15526070,4256
2025-08-13,BTCUSDT,2025-08-13T00:00:00Z,120084.34000000,123597.00000000,118945.00000000,123109.90000000,16.63289000,2025-08-13T23:59:59.999000Z,2022525.32372250,3774
2025-08-14,BTCUSDT,2025-08-14T00:00:00Z,123122.21000000,124366.55000000,117511.79000000,118094.40000000,19.58573000,2025-08-14T23:59:59.999000Z,2347088.47027070,4352
2025-08-15,BTCUSDT,2025-08-15T00:00:00Z,118286.15000000,119000.00000000,116839.76000000,117335.65000000,151.24918000,2025-08-15T23:59:59.999000Z,17866113.82223970,9101
2025-08-16,BTCUSDT,2025-08-16T00:00:00Z,117313.89000000,117893.01000000,117156.45000000,117385.76000000,1.82312000,2025-08-16T23:59:59.999000Z,214379.65453410,1093
2025-08-17,BTCUSDT,2025-08-17T00:00:00Z,117374.02000000,118500.00000000,117214.69000000,117444.35000000,2.95145000,2025-08-17T23:59:59.999000Z,347861.34383610,1271
2025-08-18,BTCUSDT,2025-08-18T00:00:00Z,117421.21000000,117574.48000000,114850.00000000,116540.82000000,8.17803000,2025-08-18T23:59:59.999000Z,947330.73204190,4250
2025-08-19,BTCUSDT,2025-08-19T00:00:00Z,116214.80000000,116789.10000000,113000.00000000,113000.00000000,11.05106000,2025-08-19T23:59:59.999000Z,1266248.35105660,2173
2025-08-20,BTCUSDT,2025-08-20T00:00:00Z,113000.00000000,114748.52000000,112500.00000000,114647.28000000,8.87539000,2025-08-20T23:59:59.999000Z,1007012.58012000,1667
2025-08-21,BTCUSDT,2025-08-21T00:00:00Z,114231.75000000,114797.48000000,112118.13000000,112356.62000000,4.76310000,2025-08-21T23:59:59.999000Z,538466.31183170,1289
2025-08-22,BTCUSDT,2025-08-22T00:00:00Z,112358.02000000,117381.23000000,111789.00000000,116924.55000000,10.77072000,2025-08-22T23:59:59.999000Z,1247564.28050320,2754
2025-08-23,BTCUSDT,2025-08-23T00:00:00Z,116924.56000000,118000.00000000,114798.62000000,115500.01000000,66.21665000,2025-08-23T23:59:59.999000Z,7701905.58442860,7247
2025-08-24,BTCUSDT,2025-08-24T00:00:00Z,115500.02000000,115699.98000000,110826.45000000,113400.01000000,80.73884000,2025-08-24T23:59:59.999000Z,9217671.90672010,6048
2025-08-25,BTCUSDT,2025-08-25T00:00:00Z,113400.01000000,113543.14000000,109328.00000000,110393.58000000,15.78654000,2025-08-25T23:59:59.999000Z,1753232.22996610,2813
2025-08-26,BTCUSDT,2025-08-26T00:00:00Z,110088.09000000,112315.57000000,108756.91000000,111761.32000000,6.98554000,2025-08-26T23:59:59.999000Z,769363.30120420,1841
2025-08-27,BTCUSDT,2025-08-27T00:00:00Z,112075.57000000,112599.99000000,110408.71000000,111486.86000000,3.38324000,2025-08-27T23:59:59.999000Z,378057.80579170,1321
2025-08-28,BTCUSDT,2025-08-28T00:00:00Z,111486.19000000,113432.26000000,110950.82000000,112585.59000000,3.55173000,2025-08-28T23:59:59.999000Z,398183.61193160,1070
